dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher_binary,1,3,128,1,4,35,35,0,0.0,0.5961500226025795,0.5961500226025795,0.0,0.0,0.30195693386083533,True
ridge_teacher_binary,1,3,128,2,4,34,34,0,0.0,0.5961500325302628,0.5961500325302628,0.0,0.0,0.3019246889749607,True
ridge_teacher_binary,1,3,128,3,4,40,40,0,0.0,0.5961500255422825,0.5961500255422825,0.0,0.0,0.3020454939398793,True
ridge_teacher_binary,1,3,128,4,4,33,33,0,0.0,0.5961500198257569,0.5961500198257569,0.0,0.0,0.3019580170199301,True
ridge_teacher_binary,1,3,128,5,4,35,35,0,0.0,0.5961500199626955,0.5961500199626955,0.0,0.0,0.3019606981302315,True
ridge_teacher_binary,1,3,128,6,4,35,35,0,0.0,0.5961500197655265,0.5961500197655265,0.0,0.0,0.30196861253718976,True
ridge_teacher_binary,1,3,128,7,4,32,32,0,0.0,0.596150019777381,0.596150019777381,0.0,0.0,0.3019634397865918,True
ridge_teacher_binary,1,4,8,0,4,7,1,7,2.0,0.5961500218553769,0.6745523917820959,0.078402369926719,0.078402369926719,4.831134346605979,True
ridge_teacher_binary,1,4,8,1,4,8,1,8,2.0,0.5961500199126268,0.6786597339424169,0.08250971402979002,0.08250971402979002,4.831318570490711,True
ridge_teacher_binary,1,4,8,2,4,6,3,4,0.0,0.5961500197722931,0.5961500197722931,0.0,0.0,4.831504050222053,True
ridge_teacher_binary,1,4,8,3,4,7,1,7,2.0,0.5961500258311043,0.6786682746212716,0.08251824879016723,0.08251824879016723,4.83168017720101,True
ridge_teacher_binary,1,4,8,4,4,7,1,7,2.0,0.5961500231402372,0.6745444469796238,0.07839442383938655,0.07839442383938655,4.830790762396154,True
ridge_teacher_binary,1,4,8,5,4,6,3,4,0.0,0.5961500327933313,0.5961500327933313,0.0,0.0,4.830093492122632,True
ridge_teacher_binary,1,4,8,6,4,7,1,7,2.0,0.596150024388385,0.6786555735644464,0.08250554917606134,0.08250554917606134,4.831142410463159,True
ridge_teacher_binary,1,4,8,7,4,7,1,7,2.0,0.5961500489617421,0.6786140401237912,0.08246399116204917,0.08246399116204917,4.829383343913258,True
ridge_teacher_binary,1,4,16,0,4,13,5,9,0.0,0.5961500211730624,0.5961500211730624,0.0,0.0,2.415748769824419,True
ridge_teacher_binary,1,4,16,1,4,13,7,7,0.0,0.5961500215255643,0.5961500215255643,0.0,0.0,2.415416747114745,True
ridge_teacher_binary,1,4,16,2,4,11,11,0,0.0,0.596150030883481,0.596150030883481,0.0,0.0,2.416367048447791,True
ridge_teacher_binary,1,4,16,3,4,12,12,0,0.0,0.5961500263309609,0.5961500263309609,0.0,0.0,2.415046514721151,True
