dataset,input_dim,replicate,width,level_type,threshold,optimization_proxy,eligible_models,pair_index,model_left,model_right,endpoint_left,endpoint_right,sampled_path_max,certified_path_upper,certificate_width,sampled_gap,certified_gap_upper,direct_sampled_max,direct_certified_upper,direct_certificate_width,direct_certified_gap_upper,proof_node_max,proof_certified_upper,proof_certificate_width,proof_certified_gap_upper,proof_path_nodes,proof_bridge_width,proof_reference_objective,certified_below_level,unresolved_segments,trained_midpoints,path_nodes
ridge_teacher_binary,1,7,16,moving,0.599615762526353,0.5961500197619644,8,0,5,1,0.5961500197652823,0.5961500201290556,0.5996206455476244,0.5996340420642221,1.3396516597707908e-05,4.8830212714401355e-06,1.8279537869148044e-05,0.6599115638484496,0.6648164075745355,0.004904843726085906,0.06520064504818257,0.5961500201290556,0.5961500201290556,0.0,0.0,58,4,0.596150019925957,False,3,10,30
ridge_teacher_binary,1,7,16,moving,0.599615762526353,0.5961500197619644,8,1,0,6,0.5961500207353799,0.596150022852687,0.5996015309494686,0.5996251638480186,2.363289855000783e-05,0.0,9.401321665603035e-06,0.627441632309878,0.6312830933616387,0.003841461051760642,0.03166733083528572,0.596150022852687,0.596150022852687,0.0,0.0,72,2,0.5961500218374359,True,0,5,20
ridge_teacher_binary,1,7,16,moving,0.599615762526353,0.5961500197619644,8,2,2,7,0.5961500198530049,0.596150020727732,0.5995254099290254,0.5996166461978312,9.123626880580549e-05,0.0,8.836714782134436e-07,0.6157259251895496,0.6190388694705138,0.0033129442809641807,0.01942310694416083,0.596150020727732,0.596150020727732,0.0,0.0,69,4,0.596150019925957,True,0,4,12
ridge_teacher_binary,1,7,32,fixed,0.5961500282892952,0.5961500197619644,8,0,4,5,0.5961500204953489,0.5961500321375295,0.5961580176927842,0.5961829645462401,2.4946853455887208e-05,7.989403489006008e-06,3.2936256944893216e-05,0.6389744719350509,0.643538655399845,0.004564183464794147,0.04738862711054981,0.5961500321375296,0.5961500321375296,0.0,3.8482343978074596e-09,102,4,0.596150019925957,False,127,17,129
ridge_teacher_binary,1,7,32,fixed,0.5961500282892952,0.5961500197619644,8,1,7,0,0.5961500203733454,0.5961500204966331,0.5961589047805014,0.5961715101377844,1.2605357282979845e-05,8.876491206177839e-06,2.1481848489157684e-05,0.6049226011150624,0.6076146018068175,0.0026920006917551254,0.01146457351752228,0.5961500204966331,0.5961500204966331,0.0,0.0,108,4,0.596150019925957,False,101,10,129
ridge_teacher_binary,1,7,32,fixed,0.5961500282892952,0.5961500197619644,8,2,6,3,0.596150029459262,0.5961500198308745,0.5961596601052874,0.5961811931098729,2.1533004585516657e-05,9.631815992228177e-06,3.1164820577744834e-05,0.6217650776516892,0.6256925065362625,0.003927428884573314,0.02954247824696732,0.596150029459262,0.596150029459262,0.0,1.1699667901154953e-09,111,4,0.596150019925957,False,119,14,129
ridge_teacher_binary,1,7,32,moving,0.5986006723948069,0.5961500197619644,8,0,1,5,0.596150020121597,0.5961500321375295,0.5985540489013527,0.5986079799392269,5.393103787421083e-05,0.0,7.307544420021017e-06,0.62673351255396,0.630849309866321,0.0041157973123610025,0.032248637471514185,0.5961500321375296,0.5961500321375296,0.0,0.0,111,2,0.5961500218374359,True,0,4,25
ridge_teacher_binary,1,7,32,moving,0.5986006723948069,0.5961500197619644,8,1,6,2,0.596150029459262,0.5961500209610817,0.598497751246588,0.5986078234290938,0.00011007218250580486,0.0,7.15103428694519e-06,0.6206539457153826,0.6242966347295231,0.0036426890141405543,0.02569596233471627,0.596150029459262,0.596150029459262,0.0,0.0,108,2,0.5961500218374359,True,0,3,19
ridge_teacher_binary,1,7,32,moving,0.5986006723948069,0.5961500197619644,8,2,4,3,0.5961500204953489,0.5961500198308745,0.5985741588314164,0.5986075948667425,3.343603532612871e-05,0.0,6.922471935677521e-06,0.6202112872745652,0.6244953686076874,0.004284081333122192,0.02589469621288054,0.5961500204953489,0.5961500204953489,0.0,0.0,111,4,0.596150019925957,True,0,3,19
ridge_teacher_binary,1,7,64,fixed,0.5961500282892952,0.5961500197619644,8,0,2,7,0.5961500209021209,0.5961500205171438,0.5961596992017106,0.5961745433916712,1.4844189960561138e-05,9.67091241543816e-06,2.4515102375999298e-05,0.6129780956994493,0.6166021630010227,0.003624067301573386,0.020452134711727465,0.5961500209021209,0.5961500209021209,0.0,0.0,159,4,0.596150019925957,False,112,11,129
