dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher_binary,1,1,8,5,21271635,0.5961500203017293,0.5896141765419541,0.006535843759775162,3.267921879887581,8,1.0,453,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,6,21271636,0.5961500199893818,0.5896148852268562,0.006535134762525559,3.2675673812627792,8,1.0,474,patience,0.6931471805599453
ridge_teacher_binary,1,1,8,7,21271637,0.5961500202062534,0.5896144179346966,0.006535602271556854,3.267801135778427,8,1.0,436,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,0,21272438,0.5961500198186882,0.5896145359815606,0.006535483837127686,3.2677419185638428,12,1.0,462,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,1,21272439,0.5961500198143873,0.5896148182052526,0.006535201609134674,3.267600804567337,13,1.0,494,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,2,21272440,0.5961500211823559,0.589615368472395,0.006534652709960937,3.2673263549804688,12,1.0,447,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,3,21272441,0.5961500216628878,0.5896139538194506,0.006536067843437195,3.2680339217185974,10,1.0,462,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,4,21272442,0.5961500213946888,0.5896153585221359,0.006534662872552872,3.267331436276436,13,1.0,490,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,5,21272443,0.5961500203028203,0.5896141936793805,0.006535826623439789,3.2679133117198944,11,1.0,439,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,6,21272444,0.5961500226944153,0.5896140534668629,0.006535969227552414,3.267984613776207,11,1.0,505,patience,0.6931471805599453
ridge_teacher_binary,1,1,16,7,21272445,0.5961500210114548,0.5896152963884899,0.006534724622964859,3.2673623114824295,11,1.0,454,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,0,21274054,0.5961500245370639,0.5896162535064591,0.00653377103060484,3.2668855153024197,18,1.0,460,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,1,21274055,0.5961500219289391,0.5896139390055267,0.0065360829234123235,3.2680414617061615,16,1.0,552,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,2,21274056,0.5961500197678375,0.5896146548568774,0.006535364910960198,3.2676824554800987,17,1.0,613,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,3,21274057,0.5961500276229619,0.5896133981845616,0.006536629438400269,3.2683147192001343,18,1.0,456,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,4,21274058,0.5961500216394925,0.5896151238184685,0.006534897821024061,3.26744891051203,18,1.0,540,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,5,21274059,0.5961500201132369,0.5896149983611179,0.006535021752119064,3.267510876059532,15,1.0,540,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,6,21274060,0.5961500198397369,0.5896148966554136,0.006535123184323311,3.2675615921616554,16,1.0,496,patience,0.6931471805599453
ridge_teacher_binary,1,1,32,7,21274061,0.5961500325372687,0.5896165611615649,0.006533471375703812,3.266735687851906,15,1.0,438,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,0,21277286,0.5961500242093065,0.5896155975574114,0.006534426651895046,3.267213325947523,26,1.0,415,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,1,21277287,0.5961500197631725,0.5896146661910646,0.006535353572107851,3.2676767860539258,25,1.0,489,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,2,21277288,0.5961500198766501,0.589614526845506,0.006535493031144143,3.267746515572071,24,1.0,475,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,3,21277289,0.5961500256572932,0.5896134625067085,0.006536563150584698,3.268281575292349,24,1.0,450,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,4,21277290,0.5961500214139908,0.5896139314684062,0.006536089945584536,3.268044972792268,25,1.0,478,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,5,21277291,0.5961500222034649,0.5896148936994271,0.006535128504037857,3.2675642520189285,26,1.0,460,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,6,21277292,0.5961500197721575,0.5896146538330173,0.00653536593914032,3.26768296957016,23,1.0,523,patience,0.6931471805599453
ridge_teacher_binary,1,1,64,7,21277293,0.5961500241112574,0.589613222340928,0.006536801770329476,3.2684008851647377,22,1.0,447,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,0,21283750,0.5961500223744921,0.5896139525082222,0.006536069866269827,3.2680349331349134,33,1.0,422,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,1,21283751,0.5961500232883362,0.5896138240986136,0.006536199189722538,3.268099594861269,31,1.0,424,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,2,21283752,0.5961500197774838,0.589614646056212,0.006535373721271754,3.2676868606358767,39,1.0,456,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,3,21283753,0.5961500228555751,0.5896158530661714,0.006534169789403677,3.2670848947018385,31,1.0,426,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,4,21283754,0.5961500249532721,0.5896141936583182,0.006535831294953823,3.2679156474769115,34,1.0,431,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,5,21283755,0.5961500199425774,0.5896144199080574,0.00653560003452003,3.267800017260015,35,1.0,459,patience,0.6931471805599453
