dimension,endpoint,source_width,q,trials,atomic_mass,d_x_squared,base_risk,base_objective,exact_expected_excess,mc_mean_excess,mc_excess_se,mc_mean_linear_term,mc_mean_remainder,smooth_bound,exact_to_bound_ratio,q_scaled_exact,best_objective_excess,max_mass_error,max_support_excess,balance_prediction_error,balance_penalty_error
2,1,256,64,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.0032106211401552063,0.0031057940348746603,5.9582728247297955e-05,-2.495515374515334e-05,0.0031307491886198137,0.007886854652621157,0.4070851158754615,0.20354255793773074,-0.00014956249897678454,0.0,-4,3.3306690738754696e-16,0.0
2,1,256,128,2048,1.0,1.0095173955355081,0.0003962410828600791,0.010396241082860079,0.0016053105700776032,0.0016120258116554638,3.250281857074597e-05,4.612748068722374e-06,0.0016074130635867412,0.003943427326310579,0.4070851158754615,0.20354255793773074,-0.00016101942807778132,0.0,-26,3.3306690738754696e-16,0.0
2,2,256,4,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.04788658861308191,0.04773440419355826,0.0007471879808528928,6.546033780883788e-05,0.04766894385574942,0.12835219098279377,0.37308742645072057,0.18654371322536029,0.0008152179117094809,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,2,256,8,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.023943294306540956,0.023447331478898447,0.0003982525527729687,-0.00030557166483304217,0.02375290314373149,0.06417609549139688,0.37308742645072057,0.18654371322536029,-0.0010912807817725712,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,2,256,16,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.011971647153270478,0.012130566449319882,0.00022460052447624657,-3.6586130940917145e-07,0.01213093231062929,0.03208804774569844,0.37308742645072057,0.18654371322536029,-0.0015937965780467912,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,2,256,32,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.005985823576635239,0.005986748555749678,0.00012691948027050278,7.714987778642711e-05,0.005909598677963251,0.01604402387284922,0.37308742645072057,0.18654371322536029,-0.0016621213268810647,0.0,0,4.440892098500626e-16,1.734723475976807e-18
2,2,256,64,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.0029929117883176195,0.003036754059997825,7.605399611243781e-05,2.7056528481582477e-05,0.003009697531516242,0.00802201193642461,0.37308742645072057,0.18654371322536029,-0.0017954245099605344,0.0,-6,4.440892098500626e-16,1.734723475976807e-18
2,2,256,128,2048,1.0,1.0268175278623501,0.0021135973498791517,0.01211359734987915,0.0014964558941588098,0.0014653477588350166,4.4422521928114615e-05,1.9498514722407084e-05,0.0014458492441126094,0.004011005968212305,0.37308742645072057,0.18654371322536029,-0.0017495538578814946,0.0,-34,4.440892098500626e-16,1.734723475976807e-18
2,3,256,4,2048,1.0,0.9988938702863566,0.004138641546149584,0.014138641546149584,0.055360544337820304,0.05348885150267447,0.0008697737353965574,-0.0006881337642646373,0.05417698526693911,0.12486173378579457,0.4433747847262284,0.2216873923631142,0.0008827877688452213,0.0,0,2.220446049250313e-16,0.0
2,3,256,8,2048,1.0,0.9988938702863566,0.004138641546149584,0.014138641546149584,0.027680272168910152,0.027345895314270285,0.0004904146877352842,-0.00022819809775927316,0.027574093412029557,0.062430866892897285,0.4433747847262284,0.2216873923631142,-0.002481514705610899,0.0,0,2.220446049250313e-16,0.0
