dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher,1,3,64,4,4,16,16,0,0.0,0.11745108877884049,0.11745108877884049,0.0,0.0,0.07180192615674973,True
ridge_teacher,1,3,64,5,4,19,19,0,0.0,0.11745108790647636,0.11745108790647636,0.0,0.0,0.07179960750519267,True
ridge_teacher,1,3,64,6,4,18,18,0,0.0,0.11745108778149749,0.11745108778149749,0.0,0.0,0.07179692067163192,True
ridge_teacher,1,3,64,7,4,16,16,0,0.0,0.11745108772216964,0.11745108772216964,0.0,0.0,0.07179277608520107,True
ridge_teacher,1,3,128,0,4,26,26,0,0.0,0.11745108775222463,0.11745108775222463,0.0,0.0,0.03589846494024261,True
ridge_teacher,1,3,128,1,4,26,26,0,0.0,0.11745108794094594,0.11745108794094594,0.0,0.0,0.035898127310976496,True
ridge_teacher,1,3,128,2,4,20,20,0,0.0,0.11745108794619474,0.11745108794619474,0.0,0.0,0.03589820605958177,True
ridge_teacher,1,3,128,3,4,25,25,0,0.0,0.11745108894384479,0.11745108894384479,0.0,0.0,0.035904319232048426,True
ridge_teacher,1,3,128,4,4,24,24,0,0.0,0.11745108871126214,0.11745108871126214,0.0,0.0,0.03589406842282292,True
ridge_teacher,1,3,128,5,4,21,21,0,0.0,0.11745108946596913,0.11745108946596913,0.0,0.0,0.03589708133155113,True
ridge_teacher,1,3,128,6,4,24,24,0,0.0,0.11745108774953918,0.11745108774953918,0.0,0.0,0.03589847074956595,True
ridge_teacher,1,3,128,7,4,23,23,0,0.0,0.11745108766714232,0.11745108766714232,0.0,0.0,0.03589769957265058,True
ridge_teacher,1,4,8,0,4,5,3,3,0.0,0.11745108769020728,0.11745108769020728,0.0,0.0,0.5743586104239025,True
ridge_teacher,1,4,8,1,4,5,3,3,0.0,0.11745108852809966,0.11745108852809966,0.0,0.0,0.5743529095412648,True
ridge_teacher,1,4,8,2,4,5,3,3,0.0,0.11745108792958212,0.11745108792958212,0.0,0.0,0.5743195359684133,True
ridge_teacher,1,4,8,3,4,7,1,7,2.0,0.1174510876677449,0.16840059886483053,0.05094951119708563,0.05094951119708563,0.5743602766239004,True
ridge_teacher,1,4,8,4,4,6,3,4,0.0,0.1174510876648598,0.1174510876648598,0.0,0.0,0.5743644407468704,True
ridge_teacher,1,4,8,5,4,5,3,3,0.0,0.11745108901532506,0.11745108901532508,2.7755575615628914e-17,2.7755575615628914e-17,0.5742943143823286,True
ridge_teacher,1,4,8,6,4,5,3,3,0.0,0.11745108801622192,0.11745108801622195,2.7755575615628914e-17,2.7755575615628914e-17,0.5743093955578473,True
ridge_teacher,1,4,8,7,4,6,4,3,0.0,0.11745108766529055,0.11745108766529055,0.0,0.0,0.5743631766381118,True
ridge_teacher,1,4,16,0,4,9,9,0,0.0,0.11745108771981323,0.11745108771981323,0.0,0.0,0.28717394858551154,True
ridge_teacher,1,4,16,1,4,9,9,0,0.0,0.11745108910519995,0.11745108910519995,0.0,0.0,0.2871416780095182,True
ridge_teacher,1,4,16,2,4,8,8,0,0.0,0.11745108903087334,0.11745108903087334,0.0,0.0,0.28722633198561237,True
ridge_teacher,1,4,16,3,4,9,9,0,0.0,0.117451087854347,0.117451087854347,0.0,0.0,0.28716573463262907,True
ridge_teacher,1,4,16,4,4,6,6,0,0.0,0.11745108794089139,0.11745108794089139,0.0,0.0,0.28716020863214003,True
ridge_teacher,1,4,16,5,4,7,7,0,0.0,0.11745108766485315,0.11745108766485315,0.0,0.0,0.2871821914559146,True
ridge_teacher,1,4,16,6,4,8,8,0,0.0,0.1174510879366287,0.1174510879366287,0.0,0.0,0.2871579971303246,True
ridge_teacher,1,4,16,7,4,8,8,0,0.0,0.11745108857970174,0.11745108857970174,0.0,0.0,0.2872131345800088,True
ridge_teacher,1,4,32,0,4,10,10,0,0.0,0.11745108800718704,0.11745108800718704,0.0,0.0,0.14359820117588246,True
ridge_teacher,1,4,32,1,4,14,14,0,0.0,0.11745109020063152,0.11745109020063152,0.0,0.0,0.1435552524611419,True
ridge_teacher,1,4,32,2,4,12,12,0,0.0,0.11745108858567871,0.11745108858567871,0.0,0.0,0.14357735577458577,True
ridge_teacher,1,4,32,3,4,13,13,0,0.0,0.1174510879271478,0.1174510879271478,0.0,0.0,0.14359387525249934,True
ridge_teacher,1,4,32,4,4,12,12,0,0.0,0.11745109056992431,0.11745109056992431,0.0,0.0,0.14360214910596023,True
ridge_teacher,1,4,32,5,4,12,12,0,0.0,0.11745108766835377,0.11745108766835377,0.0,0.0,0.14359239908192264,True
ridge_teacher,1,4,32,6,4,14,14,0,0.0,0.11745108782964626,0.11745108782964626,0.0,0.0,0.14359830204294843,True
ridge_teacher,1,4,32,7,4,11,11,0,0.0,0.11745108809306666,0.11745108809306666,0.0,0.0,0.14360479299356027,True
ridge_teacher,1,4,64,0,4,16,16,0,0.0,0.11745108781569183,0.11745108781569183,0.0,0.0,0.0717996656414581,True
ridge_teacher,1,4,64,1,4,19,19,0,0.0,0.11745108841141437,0.11745108841141437,0.0,0.0,0.07180468253006246,True
ridge_teacher,1,4,64,2,4,18,18,0,0.0,0.11745108866008436,0.11745108866008436,0.0,0.0,0.07180382713947467,True
ridge_teacher,1,4,64,3,4,18,18,0,0.0,0.11745108931737691,0.11745108931737691,0.0,0.0,0.07179829855706411,True
