width,percentile,threshold,pair,gap,barrier,hit_max_depth,loss_a_total,loss_b_total,loss_a_data,loss_b_data,loss_a_l1,loss_b_l1
20,pairwise,0.05308631807565689,79,4.629032686352674e-05,0.05313260840252042,True,0.05308631807565689,0.0444684661924839,0.049973905086517334,0.04040253162384033,0.003112412989139557,0.00406593456864357
20,pairwise,0.048781633377075195,80,9.557150304317225e-05,0.04887720488011837,True,0.04433692991733551,0.048781633377075195,0.0392829068005085,0.045120060443878174,0.005054023116827011,0.0036615729331970215
20,pairwise,0.06351245194673538,81,5.944077670573533e-05,0.06357189272344112,True,0.06351245194673538,0.0524480938911438,0.060798730701208115,0.048561207950115204,0.0027137212455272675,0.003886885941028595
20,pairwise,0.04782574996352196,82,2.5211900472638105e-05,0.047850961863994596,True,0.04782574996352196,0.04471380263566971,0.04351658746600151,0.03970810025930405,0.004309162497520447,0.005005702376365662
20,pairwise,0.04425567016005516,83,3.782084584236234e-05,0.04429349100589752,True,0.04425567016005516,0.041692182421684265,0.03957894816994667,0.03635230287909508,0.00467672199010849,0.005339879542589188
20,pairwise,0.046708256006240845,84,6.465405225752896e-06,0.0467147214114666,True,0.04508756473660469,0.046708256006240845,0.04047973453998566,0.04251962900161743,0.004607830196619034,0.004188627004623413
20,pairwise,0.062788225710392,85,2.9859691858286075e-05,0.06281808540225028,True,0.062788225710392,0.04585255682468414,0.06003450229763985,0.041763149201869965,0.0027537234127521515,0.0040894076228141785
20,pairwise,0.050879545509815216,86,1.3634562506803505e-09,0.05087954687327147,True,0.050879545509815216,0.041237544268369675,0.046380795538425446,0.035598114132881165,0.0044987499713897705,0.00563943013548851
20,pairwise,0.05421685054898262,87,7.386146206408983e-05,0.05429071201104671,True,0.05421685054898262,0.04560317099094391,0.05138392373919487,0.04147031158208847,0.0028329268097877502,0.004132859408855438
20,pairwise,0.04666274040937424,88,3.576278717609682e-10,0.04666274076700211,True,0.04666274040937424,0.039498936384916306,0.04264203459024429,0.03374013677239418,0.004020705819129944,0.005758799612522125
20,pairwise,0.04859279841184616,89,1.9371509951682242e-10,0.04859279860556126,True,0.04859279841184616,0.04731734097003937,0.043896034359931946,0.04339221864938736,0.004696764051914215,0.003925122320652008
20,pairwise,0.0514032356441021,90,5.736947028545103e-10,0.0514032362177968,True,0.04452350735664368,0.0514032356441021,0.040146950632333755,0.04808545112609863,0.004376556724309921,0.0033177845180034637
20,pairwise,0.06860481202602386,91,7.908010482787775e-05,0.06868389213085174,True,0.06860481202602386,0.06198303773999214,0.06631767749786377,0.0589882917702198,0.002287134528160095,0.002994745969772339
20,pairwise,0.05210515484213829,92,5.8844571933149015e-05,0.05216399941407144,True,0.04768577963113785,0.05210515484213829,0.04360271245241165,0.04864810034632683,0.004083067178726196,0.0034570544958114624
20,pairwise,0.05091001093387604,93,6.146976351738276e-05,0.05097148069739342,True,0.05013500526547432,0.05091001093387604,0.0466604046523571,0.047335196286439896,0.003474600613117218,0.003574814647436142
20,pairwise,0.05123686417937279,94,1.015141581905965e-10,0.051236864280886946,True,0.04544432461261749,0.05123686417937279,0.04120733216404915,0.04738102853298187,0.004236992448568344,0.003855835646390915
20,pairwise,0.04491543024778366,95,3.916837275028118e-05,0.04495459862053394,True,0.04257864132523537,0.04491543024778366,0.03755956515669823,0.0405082106590271,0.00501907616853714,0.004407219588756561
20,pairwise,0.04977189004421234,96,9.629875438732505e-10,0.049771891007199885,True,0.04977189004421234,0.040941961109638214,0.046024855226278305,0.034742362797260284,0.0037470348179340363,0.00619959831237793
